386,355,0.21
366,355,0.249
391,355,0.238
388,355,0.173
354,355,0.406
352,355,0.317
348,355,0.201
349,355,0.441
317,355,0.229
340,355,0.18
325,355,0.164
330,355,0.2
389,355,0.191
386,371,0.193
388,371,0.974
348,371,0.323
349,371,0.434
317,371,0.363
340,371,0.717
325,371,0.187
389,371,0.194
351,371,0.604
311,371,0.245
344,371,0.98
375,371,0.212
384,371,0.351
376,371,0.632
374,371,0.459
350,371,0.711
315,371,0.183
373,371,0.418
397,371,0.683
301,371,0.457
339,371,0.771
404,371,0.558
318,371,0.649
396,371,0.528
381,371,0.324
379,371,0.648
393,371,0.785
390,371,0.31
316,371,0.402
357,371,0.311
343,371,0.325
345,371,0.305
346,371,0.311
385,371,0.665
335,371,0.549
302,371,0.223
341,371,0.167
309,371,0.184
307,371,0.154
328,371,0.183
342,371,0.225
334,371,0.388
347,371,0.173
333,371,0.287
321,371,0.263
382,371,0.33
353,371,0.345
356,371,0.158
360,371,0.199
403,371,0.535
305,371,0.214
395,371,0.183
324,371,0.161
310,371,0.178
358,371,0.302
304,371,0.153
359,371,0.392
392,371,0.403
399,371,0.181
336,371,0.281
387,371,0.25
377,371,0.159
365,371,0.503
363,371,0.555
322,371,0.441
368,371,0.185
398,371,0.439
362,371,0.151
308,371,0.192
361,371,0.15
378,371,0.424
383,371,0.219
320,371,0.356
303,371,0.153
319,371,0.234
400,371,0.208
394,371,0.295
386,316,0.606
349,316,0.308
344,316,0.168
390,316,0.803
357,316,0.318
343,316,0.192
385,316,0.193
302,316,0.517
307,316,0.209
342,316,0.655
321,316,0.25
403,316,0.235
395,316,0.158
399,316,0.166
322,316,0.19
368,316,0.178
320,316,0.355
303,316,0.461
371,316,0.402
386,343,0.494
388,343,0.228
348,343,0.174
349,343,0.176
317,343,0.158
340,343,0.155
389,343,0.456
344,343,0.155
350,343,0.159
339,343,0.193
390,343,0.188
316,343,0.192
341,343,0.626
309,343,0.431
342,343,0.451
334,343,0.154
321,343,0.637
403,343,0.352
305,343,0.459
395,343,0.549
310,343,0.168
399,343,0.202
322,343,0.364
371,343,0.325
386,388,0.306
354,388,0.306
352,388,0.238
348,388,0.463
349,388,0.402
317,388,0.457
340,388,0.948
351,388,0.25
344,388,0.958
376,388,0.267
374,388,0.344
350,388,0.261
373,388,0.173
397,388,0.333
301,388,0.216
339,388,0.566
404,388,0.681
318,388,0.757
396,388,0.57
379,388,0.3
357,388,0.207
343,388,0.228
345,388,0.267
346,388,0.268
385,388,0.523
335,388,0.529
302,388,0.215
341,388,0.198
307,388,0.171
334,388,0.18
321,388,0.317
382,388,0.403
353,388,0.394
360,388,0.32
403,388,0.325
395,388,0.182
358,388,0.159
359,388,0.245
392,388,0.502
399,388,0.757
336,388,0.266
387,388,0.181
365,388,0.238
363,388,0.587
378,388,0.268
400,388,0.364
394,388,0.151
371,388,0.974
337,388,0.184
401,388,0.198
355,388,0.173
386,317,0.169
388,317,0.457
354,317,0.269
352,317,0.175
348,317,0.162
340,317,0.155
344,317,0.242
339,317,0.172
318,317,0.281
396,317,0.204
343,317,0.158
341,317,0.22
342,317,0.17
321,317,0.298
403,317,0.321
304,317,0.455
363,317,0.408
322,317,0.194
308,317,0.188
371,317,0.363
337,317,0.318
355,317,0.229
386,342,0.512
391,342,0.178
352,342,0.161
348,342,0.204
349,342,0.336
317,342,0.17
340,342,0.161
325,342,0.497
330,342,0.546
389,342,0.574
311,342,0.187
373,342,0.73
339,342,0.265
390,342,0.249
316,342,0.655
343,342,0.451
385,342,0.301
302,342,0.579
341,342,0.607
309,342,0.341
328,342,0.464
334,342,0.269
333,342,0.181
321,342,0.64
403,342,0.232
305,342,0.273
395,342,0.3
324,342,0.194
310,342,0.251
304,342,0.176
322,342,0.641
368,342,0.173
308,342,0.258
378,342,0.196
303,342,0.593
319,342,0.202
394,342,0.341
371,342,0.225
306,342,0.314
332,342,0.235
331,342,0.435
327,342,0.194
364,342,0.337
367,342,0.265
314,342,0.462
369,342,0.166
386,389,0.467
391,389,0.192
354,389,0.169
348,389,0.235
349,389,0.195
340,389,0.152
325,389,0.519
330,389,0.501
311,389,0.461
393,389,0.301
390,389,0.414
343,389,0.456
345,389,0.183
341,389,0.644
309,389,0.759
328,389,0.295
342,389,0.574
334,389,0.245
333,389,0.194
321,389,0.655
305,389,0.181
395,389,0.68
324,389,0.209
310,389,0.223
322,389,0.566
368,389,0.256
308,389,0.156
320,389,0.163
394,389,0.333
371,389,0.194
332,389,0.383
326,389,0.239
355,389,0.191
331,389,0.477
327,389,0.417
364,389,0.344
367,389,0.277
323,389,0.169
314,389,0.168
312,389,0.271
386,322,0.54
348,322,0.196
349,322,0.187
317,322,0.194
340,322,0.26
389,322,0.566
339,322,0.235
390,322,0.19
316,322,0.19
343,322,0.364
302,322,0.764
341,322,0.643
309,322,0.732
342,322,0.641
321,322,0.834
382,322,0.158
353,322,0.158
403,322,0.234
395,322,0.468
310,322,0.202
358,322,0.175
304,322,0.197
359,322,0.229
308,322,0.238
303,322,0.72
394,322,0.64
371,322,0.441
337,322,0.168
370,322,0.218
323,322,0.156
386,309,0.257
366,309,0.306
391,309,0.363
348,309,0.234
349,309,0.226
325,309,0.679
330,309,0.735
389,309,0.759
311,309,0.649
393,309,0.324
390,309,0.598
343,309,0.431
341,309,0.791
328,309,0.603
342,309,0.341
334,309,0.185
333,309,0.206
321,309,0.749
403,309,0.357
305,309,0.567
395,309,0.797
324,309,0.423
310,309,0.414
322,309,0.732
368,309,0.359
378,309,0.157
394,309,0.295
371,309,0.184
332,309,0.353
326,309,0.174
313,309,0.151
331,309,0.597
327,309,0.412
364,309,0.612
367,309,0.477
323,309,0.205
314,309,0.426
312,309,0.4
386,321,0.707
388,321,0.317
348,321,0.295
349,321,0.4
317,321,0.298
325,321,0.177
389,321,0.655
344,321,0.151
374,321,0.165
390,321,0.292
316,321,0.25
343,321,0.637
302,321,0.77
341,321,0.826
309,321,0.749
307,321,0.229
342,321,0.64
395,321,0.615
324,321,0.151
322,321,0.834
320,321,0.173
303,321,0.74
394,321,0.288
371,321,0.263
332,321,0.188
369,321,0.286
386,341,0.705
366,341,0.176
388,341,0.198
352,341,0.29
349,341,0.218
317,341,0.22
340,341,0.195
325,341,0.27
330,341,0.303
389,341,0.644
311,341,0.188
393,341,0.168
390,341,0.24
343,341,0.626
309,341,0.791
307,341,0.174
328,341,0.24
342,341,0.607
